"","x"
"1","Acer"
"2","Sony"
"3","Acer"
"4","Sony"
"5","Acer"
"6","Acer"
"7","Acer"
"8","Sony"
"9","Sony"
"10","Acer"
"11","Sony"
"12","Acer"
"13","Acer"
"14","Acer"
"15","Sony"
"16","Sony"
"17","Sony"
"18","Acer"
"19","Sony"
"20","Sony"
"21","Acer"
"22","Sony"
"23","Sony"
"24","Sony"
"25","Sony"
"26","Sony"
"27","Acer"
"28","Sony"
"29","Sony"
"30","Acer"
"31","Sony"
"32","Sony"
"33","Acer"
"34","Acer"
"35","Sony"
"36","Sony"
"37","Acer"
"38","Acer"
"39","Sony"
"40","Acer"
"41","Sony"
"42","Sony"
"43","Sony"
"44","Acer"
"45","Sony"
"46","Sony"
"47","Sony"
"48","Sony"
"49","Acer"
"50","Sony"
"51","Acer"
"52","Acer"
"53","Sony"
"54","Acer"
"55","Sony"
"56","Acer"
"57","Sony"
"58","Sony"
"59","Acer"
"60","Acer"
"61","Acer"
"62","Acer"
"63","Acer"
"64","Acer"
"65","Acer"
"66","Sony"
"67","Sony"
"68","Acer"
"69","Sony"
"70","Sony"
"71","Sony"
"72","Acer"
"73","Sony"
"74","Sony"
"75","Sony"
"76","Sony"
"77","Sony"
"78","Sony"
"79","Sony"
"80","Acer"
"81","Acer"
"82","Acer"
"83","Sony"
"84","Sony"
"85","Sony"
"86","Sony"
"87","Sony"
"88","Sony"
"89","Sony"
"90","Sony"
"91","Acer"
"92","Sony"
"93","Acer"
"94","Sony"
"95","Sony"
"96","Acer"
"97","Acer"
"98","Sony"
"99","Sony"
"100","Sony"
"101","Acer"
"102","Sony"
"103","Acer"
"104","Sony"
"105","Sony"
"106","Acer"
"107","Sony"
"108","Sony"
"109","Sony"
"110","Sony"
"111","Sony"
"112","Sony"
"113","Acer"
"114","Acer"
"115","Acer"
"116","Sony"
"117","Acer"
"118","Acer"
"119","Sony"
"120","Acer"
"121","Sony"
"122","Sony"
"123","Sony"
"124","Acer"
"125","Acer"
"126","Sony"
"127","Sony"
"128","Acer"
"129","Sony"
"130","Acer"
"131","Sony"
"132","Sony"
"133","Sony"
"134","Sony"
"135","Acer"
"136","Sony"
"137","Acer"
"138","Acer"
"139","Acer"
"140","Acer"
"141","Sony"
"142","Acer"
"143","Acer"
"144","Acer"
"145","Sony"
"146","Acer"
"147","Acer"
"148","Acer"
"149","Sony"
"150","Sony"
"151","Acer"
"152","Sony"
"153","Sony"
"154","Sony"
"155","Acer"
"156","Acer"
"157","Acer"
"158","Acer"
"159","Sony"
"160","Sony"
"161","Acer"
"162","Sony"
"163","Sony"
"164","Acer"
"165","Sony"
"166","Sony"
"167","Acer"
"168","Sony"
"169","Sony"
"170","Sony"
"171","Acer"
"172","Acer"
"173","Acer"
"174","Sony"
"175","Sony"
"176","Sony"
"177","Sony"
"178","Sony"
"179","Sony"
"180","Sony"
"181","Sony"
"182","Sony"
"183","Acer"
"184","Sony"
"185","Acer"
"186","Acer"
"187","Sony"
"188","Sony"
"189","Sony"
"190","Acer"
"191","Acer"
"192","Sony"
"193","Sony"
"194","Sony"
"195","Acer"
"196","Sony"
"197","Sony"
"198","Sony"
"199","Sony"
"200","Sony"
"201","Sony"
"202","Sony"
"203","Sony"
"204","Sony"
"205","Sony"
"206","Sony"
"207","Sony"
"208","Sony"
"209","Sony"
"210","Sony"
"211","Sony"
"212","Sony"
"213","Acer"
"214","Sony"
"215","Sony"
"216","Acer"
"217","Acer"
"218","Acer"
"219","Sony"
"220","Acer"
"221","Sony"
"222","Sony"
"223","Sony"
"224","Acer"
"225","Acer"
"226","Acer"
"227","Sony"
"228","Sony"
"229","Acer"
"230","Acer"
"231","Sony"
"232","Acer"
"233","Sony"
"234","Acer"
"235","Acer"
"236","Sony"
"237","Acer"
"238","Sony"
"239","Acer"
"240","Sony"
"241","Acer"
"242","Acer"
"243","Sony"
"244","Sony"
"245","Acer"
"246","Sony"
"247","Sony"
"248","Sony"
"249","Sony"
"250","Acer"
"251","Acer"
"252","Sony"
"253","Sony"
"254","Acer"
"255","Sony"
"256","Acer"
"257","Sony"
"258","Sony"
"259","Sony"
"260","Sony"
"261","Sony"
"262","Sony"
"263","Sony"
"264","Sony"
"265","Sony"
"266","Sony"
"267","Acer"
"268","Sony"
"269","Sony"
"270","Sony"
"271","Sony"
"272","Sony"
"273","Sony"
"274","Sony"
"275","Acer"
"276","Acer"
"277","Acer"
"278","Acer"
"279","Acer"
"280","Sony"
"281","Acer"
"282","Sony"
"283","Acer"
"284","Sony"
"285","Acer"
"286","Sony"
"287","Sony"
"288","Acer"
"289","Sony"
"290","Sony"
"291","Sony"
"292","Sony"
"293","Acer"
"294","Sony"
"295","Acer"
"296","Sony"
"297","Acer"
"298","Acer"
"299","Acer"
"300","Sony"
"301","Acer"
"302","Acer"
"303","Sony"
"304","Acer"
"305","Sony"
"306","Acer"
"307","Sony"
"308","Sony"
"309","Acer"
"310","Sony"
"311","Acer"
"312","Sony"
"313","Sony"
"314","Sony"
"315","Sony"
"316","Sony"
"317","Sony"
"318","Acer"
"319","Acer"
"320","Sony"
"321","Sony"
"322","Sony"
"323","Sony"
"324","Sony"
"325","Sony"
"326","Sony"
"327","Acer"
"328","Acer"
"329","Sony"
"330","Sony"
"331","Acer"
"332","Sony"
"333","Acer"
"334","Sony"
"335","Sony"
"336","Sony"
"337","Sony"
"338","Sony"
"339","Sony"
"340","Acer"
"341","Acer"
"342","Acer"
"343","Sony"
"344","Sony"
"345","Sony"
"346","Sony"
"347","Acer"
"348","Acer"
"349","Sony"
"350","Sony"
"351","Sony"
"352","Acer"
"353","Sony"
"354","Acer"
"355","Acer"
"356","Sony"
"357","Acer"
"358","Acer"
"359","Sony"
"360","Acer"
"361","Sony"
"362","Acer"
"363","Sony"
"364","Sony"
"365","Sony"
"366","Sony"
"367","Sony"
"368","Sony"
"369","Acer"
"370","Acer"
"371","Sony"
"372","Acer"
"373","Sony"
"374","Sony"
"375","Sony"
"376","Acer"
"377","Sony"
"378","Acer"
"379","Sony"
"380","Sony"
"381","Acer"
"382","Sony"
"383","Sony"
"384","Sony"
"385","Acer"
"386","Sony"
"387","Acer"
"388","Sony"
"389","Acer"
"390","Sony"
"391","Sony"
"392","Sony"
"393","Acer"
"394","Sony"
"395","Sony"
"396","Sony"
"397","Acer"
"398","Sony"
"399","Acer"
"400","Sony"
"401","Sony"
"402","Sony"
"403","Sony"
"404","Acer"
"405","Acer"
"406","Sony"
"407","Sony"
"408","Sony"
"409","Acer"
"410","Acer"
"411","Sony"
"412","Acer"
"413","Sony"
"414","Sony"
"415","Sony"
"416","Sony"
"417","Sony"
"418","Sony"
"419","Sony"
"420","Acer"
"421","Sony"
"422","Sony"
"423","Sony"
"424","Sony"
"425","Acer"
"426","Sony"
"427","Acer"
"428","Sony"
"429","Sony"
"430","Acer"
"431","Sony"
"432","Sony"
"433","Sony"
"434","Acer"
"435","Sony"
"436","Acer"
"437","Sony"
"438","Acer"
"439","Sony"
"440","Acer"
"441","Sony"
"442","Acer"
"443","Acer"
"444","Acer"
"445","Acer"
"446","Acer"
"447","Sony"
"448","Sony"
"449","Sony"
"450","Sony"
"451","Acer"
"452","Acer"
"453","Sony"
