,DateTime,Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Power_con
1,1/1/2008 5:00,1/1/2008,5:00 AM,3.31,0.194,239.07,13.8,0,0,17,38.16666667
2,1/1/2008 11:00,1/1/2008,11:00 AM,0.824,0.322,238.17,3.6,0,2,0,11.73333333
3,1/1/2008 17:00,1/1/2008,5:00 PM,1.562,0.06,240.3,6.4,0,0,0,26.03333333
4,1/1/2008 23:00,1/1/2008,11:00 PM,0.394,0.052,243.17,1.6,0,0,0,6.566666667
5,1/2/2008 5:00,2/1/2008,5:00 AM,0.384,0.128,245.28,1.6,0,0,0,6.4
6,1/2/2008 11:00,2/1/2008,11:00 AM,1.688,0.33,241.65,7,0,1,17,10.13333333
7,1/2/2008 17:00,2/1/2008,5:00 PM,0.386,0.124,243.93,1.6,0,0,0,6.433333333
8,1/2/2008 23:00,2/1/2008,11:00 PM,2.872,0.192,242.03,11.8,0,37,0,10.86666667
9,1/3/2008 5:00,3/1/2008,5:00 AM,0.302,0,246.09,1.4,0,0,0,5.033333333
10,1/3/2008 11:00,3/1/2008,11:00 AM,0.928,0.056,242.27,3.8,0,0,0,15.46666667
11,1/3/2008 17:00,3/1/2008,5:00 PM,0.604,0,243.99,2.4,0,0,0,10.06666667
12,1/3/2008 23:00,3/1/2008,11:00 PM,0.664,0,245.84,2.6,0,0,0,11.06666667
13,1/4/2008 5:00,4/1/2008,5:00 AM,0.326,0.116,245.91,1.4,0,2,0,3.433333333
14,1/4/2008 11:00,4/1/2008,11:00 AM,1.774,0,237.64,7.4,0,0,17,12.56666667
15,1/4/2008 17:00,4/1/2008,5:00 PM,2.528,0.128,238.96,10.8,0,0,18,24.13333333
16,1/4/2008 23:00,4/1/2008,11:00 PM,1.076,0.116,242.71,4.4,0,0,0,17.93333333
17,1/5/2008 5:00,5/1/2008,5:00 AM,0.332,0.114,242.88,1.4,0,0,0,5.533333333
18,1/5/2008 11:00,5/1/2008,11:00 AM,1.61,0.32,231.62,7,0,0,17,9.833333333
19,1/5/2008 17:00,5/1/2008,5:00 PM,1.4,0.126,239.26,5.8,0,0,0,23.33333333
20,1/5/2008 23:00,5/1/2008,11:00 PM,1.688,0.084,240.49,7,0,0,18,10.13333333
21,1/6/2008 5:00,6/1/2008,5:00 AM,0.328,0.108,243.61,1.4,0,0,0,5.466666667
22,1/6/2008 11:00,6/1/2008,11:00 AM,1.83,0.186,235.37,7.8,0,1,17,12.5
23,1/6/2008 17:00,6/1/2008,5:00 PM,0.588,0.068,237.51,2.4,0,0,0,9.8
24,1/6/2008 23:00,6/1/2008,11:00 PM,0.236,0.052,238.66,1,0,0,0,3.933333333
25,1/7/2008 5:00,7/1/2008,5:00 AM,1.404,0.054,240.2,5.8,0,0,18,5.4
26,1/7/2008 11:00,7/1/2008,11:00 AM,1.464,0.198,241.77,6,0,0,17,7.4
27,1/7/2008 17:00,7/1/2008,5:00 PM,0.4,0.216,238.91,1.8,0,1,0,5.666666667
28,1/7/2008 23:00,7/1/2008,11:00 PM,1.354,0.05,243,5.4,0,0,18,4.566666667
29,1/8/2008 5:00,8/1/2008,5:00 AM,0.31,0.088,244.63,1.2,0,2,0,3.166666667
30,1/8/2008 11:00,8/1/2008,11:00 AM,0.224,0,241.29,1,0,0,0,3.733333333
31,1/8/2008 17:00,8/1/2008,5:00 PM,1.38,0,242.96,5.6,0,0,19,4
32,1/8/2008 23:00,8/1/2008,11:00 PM,0.244,0,244.65,1,0,0,0,4.066666667
33,1/9/2008 5:00,9/1/2008,5:00 AM,0.33,0.096,242.26,1.4,0,0,0,5.5
34,1/9/2008 11:00,9/1/2008,11:00 AM,1.54,0.314,240.5,6.4,0,1,18,6.666666667
35,1/9/2008 17:00,9/1/2008,5:00 PM,0.364,0.162,243.72,1.6,1,0,0,5.066666667
36,1/9/2008 23:00,9/1/2008,11:00 PM,0.872,0.084,245.48,3.6,0,0,0,14.53333333
37,1/10/2008 5:00,10/1/2008,5:00 AM,1.496,0.052,243.33,6.2,0,0,18,6.933333333
38,1/10/2008 11:00,10/1/2008,11:00 AM,1.446,0.058,238.9,6,0,0,18,6.1
39,1/10/2008 17:00,10/1/2008,5:00 PM,0.322,0,241.71,1.4,0,0,0,5.366666667
40,1/10/2008 23:00,10/1/2008,11:00 PM,0.262,0,244.54,1,0,0,0,4.366666667
41,1/11/2008 5:00,11/1/2008,5:00 AM,0.328,0.102,242.25,1.4,0,0,0,5.466666667
42,1/11/2008 11:00,11/1/2008,11:00 AM,1.64,0,236.95,6.8,0,0,17,10.33333333
