Date,Time,Random,Seasonal,Trend
1/1/2008,5:00 AM,NA,-0.107497435,NA
1/1/2008,11:00 AM,NA,-1.606311033,NA
1/1/2008,5:00 PM,NA,1.625448036,NA
1/1/2008,11:00 PM,NA,2.150636263,NA
2/1/2008,5:00 AM,NA,-0.525475989,NA
2/1/2008,11:00 AM,NA,-2.459950093,NA
2/1/2008,5:00 PM,NA,15.97062257,NA
2/1/2008,11:00 PM,NA,-3.731955569,NA
3/1/2008,5:00 AM,NA,6.535327114,NA
3/1/2008,11:00 AM,NA,26.97132985,NA
3/1/2008,5:00 PM,NA,0.938247488,NA
3/1/2008,11:00 PM,NA,-4.093762551,NA
4/1/2008,5:00 AM,NA,0.405165124,NA
4/1/2008,11:00 AM,NA,2.441624171,NA
4/1/2008,5:00 PM,NA,12.17564197,NA
4/1/2008,11:00 PM,NA,0.943700374,NA
5/1/2008,5:00 AM,NA,-0.524038617,NA
5/1/2008,11:00 AM,NA,28.21066364,NA
5/1/2008,5:00 PM,NA,-0.689518882,NA
5/1/2008,11:00 PM,NA,-2.850915186,NA
6/1/2008,5:00 AM,NA,-3.112585275,NA
6/1/2008,11:00 AM,NA,-2.742382218,NA
6/1/2008,5:00 PM,NA,-2.010303732,NA
6/1/2008,11:00 PM,NA,-3.081944161,NA
7/1/2008,5:00 AM,NA,-0.520525042,NA
7/1/2008,11:00 AM,NA,-2.352626343,NA
7/1/2008,5:00 PM,NA,-2.75223848,NA
7/1/2008,11:00 PM,NA,-2.683472795,NA
8/1/2008,5:00 AM,NA,-2.714798371,NA
8/1/2008,11:00 AM,NA,3.484015227,NA
8/1/2008,5:00 PM,NA,4.449221707,NA
8/1/2008,11:00 PM,NA,-1.854063714,NA
9/1/2008,5:00 AM,NA,-2.286210646,NA
9/1/2008,11:00 AM,NA,-3.253653037,NA
9/1/2008,5:00 PM,NA,-1.054748177,NA
9/1/2008,11:00 PM,NA,-1.052945758,NA
10/1/2008,5:00 AM,NA,-1.514980894,NA
10/1/2008,11:00 AM,NA,9.488783651,NA
10/1/2008,5:00 PM,NA,-4.146352101,NA
10/1/2008,11:00 PM,NA,-4.108045006,NA
11/1/2008,5:00 AM,NA,-4.174939826,NA
11/1/2008,11:00 AM,NA,5.294624399,NA
11/1/2008,5:00 PM,NA,-0.173799055,NA
11/1/2008,11:00 PM,NA,-2.306812973,NA
12/1/2008,5:00 AM,NA,-2.138047287,NA
12/1/2008,11:00 AM,NA,2.826999485,NA
12/1/2008,5:00 PM,NA,12.72861938,NA
12/1/2008,11:00 PM,NA,-2.935149728,NA
13/1/2008,5:00 AM,NA,-4.033529833,NA
13/1/2008,11:00 AM,NA,2.238840689,NA
13/1/2008,5:00 PM,NA,-2.029149272,NA
13/1/2008,11:00 PM,NA,-3.297960589,NA
14/1/2008,5:00 AM,NA,-1.428875487,NA
14/1/2008,11:00 AM,NA,-0.495108661,NA
14/1/2008,5:00 PM,NA,3.709135008,NA
14/1/2008,11:00 PM,NA,-3.683792211,NA
15/1/2008,5:00 AM,NA,1.450271216,NA
15/1/2008,11:00 AM,NA,3.954583331,NA
15/1/2008,5:00 PM,NA,-4.048086073,NA
15/1/2008,11:00 PM,NA,-3.92068475,NA
16/1/2008,5:00 AM,NA,-2.468300538,NA
16/1/2008,11:00 AM,NA,-4.1001965,NA
16/1/2008,5:00 PM,NA,-1.599420776,NA
16/1/2008,11:00 PM,NA,-3.07028548,NA
17/1/2008,5:00 AM,NA,-2.600128054,NA
17/1/2008,11:00 AM,NA,21.6429931,NA
17/1/2008,5:00 PM,NA,19.91000199,NA
17/1/2008,11:00 PM,NA,14.17851671,NA
18/1/2008,5:00 AM,NA,17.48034194,NA
18/1/2008,11:00 AM,NA,12.14709987,NA
18/1/2008,5:00 PM,NA,10.61511265,NA
18/1/2008,11:00 PM,NA,-3.345667638,NA
19/1/2008,5:00 AM,NA,19.55462896,NA
19/1/2008,11:00 AM,NA,20.90370494,NA
19/1/2008,5:00 PM,NA,3.603317075,NA
19/1/2008,11:00 PM,NA,-1.95787389,NA
20/1/2008,5:00 AM,NA,-1.266292781,NA
20/1/2008,11:00 AM,NA,-1.799785822,NA
20/1/2008,5:00 PM,NA,-3.164946671,NA
20/1/2008,11:00 PM,NA,-3.994332936,NA
21/1/2008,5:00 AM,NA,-3.060429217,NA
21/1/2008,11:00 AM,NA,-3.758923399,NA
21/1/2008,5:00 PM,NA,-0.925681328,NA
21/1/2008,11:00 PM,NA,-3.955843317,NA
22/1/2008,5:00 AM,NA,-4.323194447,NA
22/1/2008,11:00 AM,NA,10.54415668,NA
22/1/2008,5:00 PM,NA,-1.789222281,NA
22/1/2008,11:00 PM,NA,-3.149865676,NA
23/1/2008,5:00 AM,NA,-3.649363737,NA
23/1/2008,11:00 AM,NA,-0.613429445,NA
23/1/2008,5:00 PM,NA,-1.446785594,NA
23/1/2008,11:00 PM,NA,-1.413292553,NA
24/1/2008,5:00 AM,NA,4.287209386,NA
24/1/2008,11:00 AM,NA,1.454765855,NA
24/1/2008,5:00 PM,NA,0.423189309,NA
24/1/2008,11:00 PM,NA,-2.942427848,NA
25/1/2008,5:00 AM,NA,7.592069072,NA
25/1/2008,11:00 AM,NA,-0.175259242,NA
25/1/2008,5:00 PM,NA,12.52492328,NA
25/1/2008,11:00 PM,NA,17.59174966,NA
26/1/2008,5:00 AM,NA,15.25928331,NA
26/1/2008,11:00 AM,NA,14.92588153,NA
26/1/2008,5:00 PM,NA,-1.476810691,NA
26/1/2008,11:00 PM,NA,-3.841697755,NA
27/1/2008,5:00 AM,NA,-2.407748405,NA
27/1/2008,11:00 AM,NA,4.293255474,NA
27/1/2008,5:00 PM,NA,5.570622574,NA
27/1/2008,11:00 PM,NA,-0.432845371,NA
28/1/2008,5:00 AM,NA,0.131653831,NA
28/1/2008,11:00 AM,NA,-2.666224335,NA
28/1/2008,5:00 PM,NA,-1.197321757,NA
28/1/2008,11:00 PM,NA,-3.863418038,NA
29/1/2008,5:00 AM,NA,17.87217402,NA
29/1/2008,11:00 AM,NA,22.8428562,NA
29/1/2008,5:00 PM,NA,-3.825772589,NA
29/1/2008,11:00 PM,NA,-2.004987739,NA
30/1/2008,5:00 AM,NA,2.529098503,NA
30/1/2008,11:00 AM,NA,8.3634129,NA
30/1/2008,5:00 PM,NA,0.232064508,NA
