Date,Time,Random,Seasonal,Trend
1/1/2008,5:00 AM,NA,-0.853058368,NA
1/1/2008,11:00 AM,NA,-0.853058368,NA
1/1/2008,5:00 PM,NA,-0.85374283,NA
1/1/2008,11:00 PM,NA,-0.85374283,NA
2/1/2008,5:00 AM,NA,0.146941632,NA
2/1/2008,11:00 AM,NA,-0.853058368,NA
2/1/2008,5:00 PM,NA,0.146941632,NA
2/1/2008,11:00 PM,NA,-0.853058368,NA
3/1/2008,5:00 AM,NA,-0.85374283,NA
3/1/2008,11:00 AM,NA,-0.85374283,NA
3/1/2008,5:00 PM,NA,-0.854427293,NA
3/1/2008,11:00 PM,NA,-0.855111756,NA
4/1/2008,5:00 AM,NA,-0.855111756,NA
4/1/2008,11:00 AM,NA,-0.855111756,NA
4/1/2008,5:00 PM,NA,0.145572707,NA
4/1/2008,11:00 PM,NA,-0.853058368,NA
5/1/2008,5:00 AM,NA,0.146941632,NA
5/1/2008,11:00 AM,NA,2.14625717,NA
5/1/2008,5:00 PM,NA,-0.855111756,NA
5/1/2008,11:00 PM,NA,-0.85374283,NA
6/1/2008,5:00 AM,NA,-0.853058368,NA
6/1/2008,11:00 AM,NA,0.145572707,NA
6/1/2008,5:00 PM,NA,-0.853058368,NA
6/1/2008,11:00 PM,NA,-0.853058368,NA
7/1/2008,5:00 AM,NA,-0.853058368,NA
7/1/2008,11:00 AM,NA,-0.853058368,NA
7/1/2008,5:00 PM,NA,-0.852373905,NA
7/1/2008,11:00 PM,NA,-0.85374283,NA
8/1/2008,5:00 AM,NA,-0.854427293,NA
8/1/2008,11:00 AM,NA,-0.854427293,NA
8/1/2008,5:00 PM,NA,-0.854427293,NA
8/1/2008,11:00 PM,NA,-0.85374283,NA
9/1/2008,5:00 AM,NA,-0.85374283,NA
9/1/2008,11:00 AM,NA,-0.85374283,NA
9/1/2008,5:00 PM,NA,-0.85374283,NA
9/1/2008,11:00 PM,NA,0.146941632,NA
10/1/2008,5:00 AM,NA,1.147626095,NA
10/1/2008,11:00 AM,NA,-0.852373905,NA
10/1/2008,5:00 PM,NA,-0.85100498,NA
10/1/2008,11:00 PM,NA,-0.85100498,NA
11/1/2008,5:00 AM,NA,-0.851689442,NA
11/1/2008,11:00 AM,NA,-0.851689442,NA
11/1/2008,5:00 PM,NA,-0.851689442,NA
11/1/2008,11:00 PM,NA,-0.848267129,NA
12/1/2008,5:00 AM,NA,0.151048409,NA
12/1/2008,11:00 AM,NA,-0.848951591,NA
12/1/2008,5:00 PM,NA,-0.850320517,NA
12/1/2008,11:00 PM,NA,1.168844439,NA
13/1/2008,5:00 AM,NA,-0.832524487,NA
13/1/2008,11:00 AM,NA,-0.833893412,NA
13/1/2008,5:00 PM,NA,-0.834577875,NA
13/1/2008,11:00 PM,NA,-0.834577875,NA
14/1/2008,5:00 AM,NA,0.165422125,NA
14/1/2008,11:00 AM,NA,-0.834577875,NA
14/1/2008,5:00 PM,NA,-0.834577875,NA
14/1/2008,11:00 PM,NA,-0.834577875,NA
15/1/2008,5:00 AM,NA,1.165422125,NA
15/1/2008,11:00 AM,NA,-0.833208949,NA
15/1/2008,5:00 PM,NA,-0.833893412,NA
15/1/2008,11:00 PM,NA,-0.833893412,NA
16/1/2008,5:00 AM,NA,-0.833893412,NA
16/1/2008,11:00 AM,NA,-0.834577875,NA
16/1/2008,5:00 PM,NA,-0.833893412,NA
16/1/2008,11:00 PM,NA,-0.832524487,NA
17/1/2008,5:00 AM,NA,-0.832524487,NA
17/1/2008,11:00 AM,NA,0.167475513,NA
17/1/2008,5:00 PM,NA,-0.833208949,NA
17/1/2008,11:00 PM,NA,1.166791051,NA
18/1/2008,5:00 AM,NA,-0.833893412,NA
18/1/2008,11:00 AM,NA,19.16610659,NA
18/1/2008,5:00 PM,NA,-0.833208949,NA
18/1/2008,11:00 PM,NA,0.166106588,NA
19/1/2008,5:00 AM,NA,-0.834577875,NA
19/1/2008,11:00 AM,NA,-0.833208949,NA
19/1/2008,5:00 PM,NA,-0.832524487,NA
19/1/2008,11:00 PM,NA,-0.833893412,NA
20/1/2008,5:00 AM,NA,0.166106588,NA
20/1/2008,11:00 AM,NA,-0.833893412,NA
20/1/2008,5:00 PM,NA,-0.834577875,NA
20/1/2008,11:00 PM,NA,-0.834577875,NA
21/1/2008,5:00 AM,NA,-0.834577875,NA
21/1/2008,11:00 AM,NA,-0.834577875,NA
21/1/2008,5:00 PM,NA,1.164737662,NA
21/1/2008,11:00 PM,NA,-0.835262338,NA
22/1/2008,5:00 AM,NA,-0.8359468,NA
22/1/2008,11:00 AM,NA,-0.8359468,NA
22/1/2008,5:00 PM,NA,-0.8359468,NA
22/1/2008,11:00 PM,NA,-0.8359468,NA
23/1/2008,5:00 AM,NA,-0.8359468,NA
23/1/2008,11:00 AM,NA,-0.8359468,NA
23/1/2008,5:00 PM,NA,-0.835262338,NA
23/1/2008,11:00 PM,NA,-0.836631263,NA
24/1/2008,5:00 AM,NA,0.161999812,NA
24/1/2008,11:00 AM,NA,-0.838684651,NA
24/1/2008,5:00 PM,NA,-0.838000188,NA
24/1/2008,11:00 PM,NA,-0.838000188,NA
25/1/2008,5:00 AM,NA,-0.839369114,NA
25/1/2008,11:00 AM,NA,-0.840738039,NA
25/1/2008,5:00 PM,NA,-0.841422502,NA
25/1/2008,11:00 PM,NA,0.159261961,NA
26/1/2008,5:00 AM,NA,-0.842106965,NA
26/1/2008,11:00 AM,NA,1.157893035,NA
26/1/2008,5:00 PM,NA,0.157208573,NA
26/1/2008,11:00 PM,NA,-0.842106965,NA
27/1/2008,5:00 AM,NA,-0.842106965,NA
27/1/2008,11:00 AM,NA,-0.842106965,NA
27/1/2008,5:00 PM,NA,-0.841422502,NA
27/1/2008,11:00 PM,NA,0.157893035,NA
28/1/2008,5:00 AM,NA,-0.842791427,NA
28/1/2008,11:00 AM,NA,-0.842791427,NA
28/1/2008,5:00 PM,NA,-0.84347589,NA
28/1/2008,11:00 PM,NA,-0.846213741,NA
29/1/2008,5:00 AM,NA,-0.846898203,NA
29/1/2008,11:00 AM,NA,27.15378626,NA
29/1/2008,5:00 PM,NA,-0.846213741,NA
29/1/2008,11:00 PM,NA,-0.846213741,NA
30/1/2008,5:00 AM,NA,0.153786259,NA
30/1/2008,11:00 AM,NA,-0.846213741,NA
30/1/2008,5:00 PM,NA,-0.846213741,NA
30/1/2008,11:00 PM,NA,-0.846898203,NA
31/1/2008,5:00 AM,NA,-0.846898203,NA
31/1/2008,11:00 AM,NA,-0.847582666,NA
31/1/2008,5:00 PM,NA,-0.847582666,NA
31/1/2008,11:00 PM,NA,-0.848267129,NA
1/2/2008,5:00 AM,NA,-0.847582666,NA
1/2/2008,11:00 AM,NA,1.151732871,NA
1/2/2008,5:00 PM,NA,-0.848267129,NA
1/2/2008,11:00 PM,NA,-0.848951591,NA
2/2/2008,5:00 AM,NA,-0.848951591,NA
2/2/2008,11:00 AM,NA,-0.849636054,NA
2/2/2008,5:00 PM,NA,-0.849636054,NA
2/2/2008,11:00 PM,NA,0.150363946,NA
3/2/2008,5:00 AM,NA,-0.849636054,NA
3/2/2008,11:00 AM,NA,-0.850320517,NA
3/2/2008,5:00 PM,NA,-0.850320517,NA
3/2/2008,11:00 PM,NA,-0.850320517,NA
4/2/2008,5:00 AM,NA,-0.801723665,NA
4/2/2008,11:00 AM,NA,1.198276335,NA
4/2/2008,5:00 PM,NA,0.198276335,NA
4/2/2008,11:00 PM,NA,-0.801723665,NA
5/2/2008,5:00 AM,NA,17.19827633,NA
5/2/2008,11:00 AM,NA,-0.801039203,NA
5/2/2008,5:00 PM,NA,-0.801723665,NA
5/2/2008,11:00 PM,NA,-0.801723665,NA
6/2/2008,5:00 AM,NA,-0.801723665,NA
6/2/2008,11:00 AM,NA,-0.80035474,NA
6/2/2008,5:00 PM,NA,-0.80035474,NA
6/2/2008,11:00 PM,NA,-0.80035474,NA
7/2/2008,5:00 AM,NA,-0.801039203,NA
7/2/2008,11:00 AM,NA,-0.80035474,NA
7/2/2008,5:00 PM,NA,-0.801039203,NA
7/2/2008,11:00 PM,NA,-0.801039203,NA
8/2/2008,5:00 AM,NA,-0.801723665,NA
8/2/2008,11:00 AM,NA,1.198276335,NA
8/2/2008,5:00 PM,NA,-0.801039203,NA
8/2/2008,11:00 PM,NA,-0.80035474,NA
9/2/2008,5:00 AM,NA,0.198960797,NA
9/2/2008,11:00 AM,NA,-0.801039203,NA
9/2/2008,5:00 PM,NA,-0.801039203,NA
9/2/2008,11:00 PM,NA,-0.801039203,NA
10/2/2008,5:00 AM,NA,-0.801039203,NA
10/2/2008,11:00 AM,NA,-0.801039203,NA
10/2/2008,5:00 PM,NA,-0.799670277,NA
10/2/2008,11:00 PM,NA,-0.798985815,NA
11/2/2008,5:00 AM,NA,-0.798985815,NA
11/2/2008,11:00 AM,NA,-0.80035474,NA
11/2/2008,5:00 PM,NA,-0.80035474,NA
11/2/2008,11:00 PM,NA,-0.801723665,NA
12/2/2008,5:00 AM,NA,1.196907409,NA
12/2/2008,11:00 AM,NA,1.196222947,NA
12/2/2008,5:00 PM,NA,-0.804461516,NA
12/2/2008,11:00 PM,NA,0.194854021,NA
13/2/2008,5:00 AM,NA,-0.806514904,NA
13/2/2008,11:00 AM,NA,-0.807199367,NA
13/2/2008,5:00 PM,NA,-0.80788383,NA
13/2/2008,11:00 PM,NA,-0.808568292,NA
14/2/2008,5:00 AM,NA,0.190747245,NA
14/2/2008,11:00 AM,NA,0.190062782,NA
14/2/2008,5:00 PM,NA,0.18937832,NA
14/2/2008,11:00 PM,NA,1.190062782,NA
15/2/2008,5:00 AM,NA,-0.809252755,NA
15/2/2008,11:00 AM,NA,0.19211617,NA
15/2/2008,5:00 PM,NA,-0.807199367,NA
15/2/2008,11:00 PM,NA,-0.806514904,NA
16/2/2008,5:00 AM,NA,-0.807199367,NA
