"","DateTime","Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","Power_con"
"1",2008-01-01 05:00:00,"1/1/2008","05:00 AM",3.31,0.194,239.07,13.8,0,0,17,38.1666666666667
"2",2008-01-01 11:00:00,"1/1/2008","11:00 AM",0.824,0.322,238.17,3.6,0,2,0,11.7333333333333
"3",2008-01-01 17:00:00,"1/1/2008","05:00 PM",1.562,0.06,240.3,6.4,0,0,0,26.0333333333333
"4",2008-01-01 23:00:00,"1/1/2008","11:00 PM",0.394,0.052,243.17,1.6,0,0,0,6.56666666666667
"5",2008-01-02 05:00:00,"2/1/2008","05:00 AM",0.384,0.128,245.28,1.6,0,0,0,6.4
"6",2008-01-02 11:00:00,"2/1/2008","11:00 AM",1.688,0.33,241.65,7,0,1,17,10.1333333333333
"7",2008-01-02 17:00:00,"2/1/2008","05:00 PM",0.386,0.124,243.93,1.6,0,0,0,6.43333333333333
"8",2008-01-02 23:00:00,"2/1/2008","11:00 PM",2.872,0.192,242.03,11.8,0,37,0,10.8666666666667
"9",2008-01-03 05:00:00,"3/1/2008","05:00 AM",0.302,0,246.09,1.4,0,0,0,5.03333333333333
"10",2008-01-03 11:00:00,"3/1/2008","11:00 AM",0.928,0.056,242.27,3.8,0,0,0,15.4666666666667
"11",2008-01-03 17:00:00,"3/1/2008","05:00 PM",0.604,0,243.99,2.4,0,0,0,10.0666666666667
"12",2008-01-03 23:00:00,"3/1/2008","11:00 PM",0.664,0,245.84,2.6,0,0,0,11.0666666666667
"13",2008-01-04 05:00:00,"4/1/2008","05:00 AM",0.326,0.116,245.91,1.4,0,2,0,3.43333333333333
"14",2008-01-04 11:00:00,"4/1/2008","11:00 AM",1.774,0,237.64,7.4,0,0,17,12.5666666666667
"15",2008-01-04 17:00:00,"4/1/2008","05:00 PM",2.528,0.128,238.96,10.8,0,0,18,24.1333333333333
"16",2008-01-04 23:00:00,"4/1/2008","11:00 PM",1.076,0.116,242.71,4.4,0,0,0,17.9333333333333
"17",2008-01-05 05:00:00,"5/1/2008","05:00 AM",0.332,0.114,242.88,1.4,0,0,0,5.53333333333333
"18",2008-01-05 11:00:00,"5/1/2008","11:00 AM",1.61,0.32,231.62,7,0,0,17,9.83333333333333
"19",2008-01-05 17:00:00,"5/1/2008","05:00 PM",1.4,0.126,239.26,5.8,0,0,0,23.3333333333333
"20",2008-01-05 23:00:00,"5/1/2008","11:00 PM",1.688,0.084,240.49,7,0,0,18,10.1333333333333
"21",2008-01-06 05:00:00,"6/1/2008","05:00 AM",0.328,0.108,243.61,1.4,0,0,0,5.46666666666667
"22",2008-01-06 11:00:00,"6/1/2008","11:00 AM",1.83,0.186,235.37,7.8,0,1,17,12.5
"23",2008-01-06 17:00:00,"6/1/2008","05:00 PM",0.588,0.068,237.51,2.4,0,0,0,9.8
"24",2008-01-06 23:00:00,"6/1/2008","11:00 PM",0.236,0.052,238.66,1,0,0,0,3.93333333333333
"25",2008-01-07 05:00:00,"7/1/2008","05:00 AM",1.404,0.054,240.2,5.8,0,0,18,5.4
"26",2008-01-07 11:00:00,"7/1/2008","11:00 AM",1.464,0.198,241.77,6,0,0,17,7.4
"27",2008-01-07 17:00:00,"7/1/2008","05:00 PM",0.4,0.216,238.91,1.8,0,1,0,5.66666666666667
"28",2008-01-07 23:00:00,"7/1/2008","11:00 PM",1.354,0.05,243,5.4,0,0,18,4.56666666666667
"29",2008-01-08 05:00:00,"8/1/2008","05:00 AM",0.31,0.088,244.63,1.2,0,2,0,3.16666666666667
"30",2008-01-08 11:00:00,"8/1/2008","11:00 AM",0.224,0,241.29,1,0,0,0,3.73333333333333
"31",2008-01-08 17:00:00,"8/1/2008","05:00 PM",1.38,0,242.96,5.6,0,0,19,4
"32",2008-01-08 23:00:00,"8/1/2008","11:00 PM",0.244,0,244.65,1,0,0,0,4.06666666666667
"33",2008-01-09 05:00:00,"9/1/2008","05:00 AM",0.33,0.096,242.26,1.4,0,0,0,5.5
"34",2008-01-09 11:00:00,"9/1/2008","11:00 AM",1.54,0.314,240.5,6.4,0,1,18,6.66666666666667
"35",2008-01-09 17:00:00,"9/1/2008","05:00 PM",0.364,0.162,243.72,1.6,1,0,0,5.06666666666667
"36",2008-01-09 23:00:00,"9/1/2008","11:00 PM",0.872,0.084,245.48,3.6,0,0,0,14.5333333333333
"37",2008-01-10 05:00:00,"10/1/2008","05:00 AM",1.496,0.052,243.33,6.2,0,0,18,6.93333333333333
"38",2008-01-10 11:00:00,"10/1/2008","11:00 AM",1.446,0.058,238.9,6,0,0,18,6.1
"39",2008-01-10 17:00:00,"10/1/2008","05:00 PM",0.322,0,241.71,1.4,0,0,0,5.36666666666667
"40",2008-01-10 23:00:00,"10/1/2008","11:00 PM",0.262,0,244.54,1,0,0,0,4.36666666666667
"41",2008-01-11 05:00:00,"11/1/2008","05:00 AM",0.328,0.102,242.25,1.4,0,0,0,5.46666666666667
"42",2008-01-11 11:00:00,"11/1/2008","11:00 AM",1.64,0,236.95,6.8,0,0,17,10.3333333333333
"43",2008-01-11 17:00:00,"11/1/2008","05:00 PM",0.59,0,239.05,2.4,0,0,0,9.83333333333333
"44",2008-01-11 23:00:00,"11/1/2008","11:00 PM",2.246,0,238.92,9.4,1,0,18,18.4333333333333
"45",2008-01-12 05:00:00,"12/1/2008","05:00 AM",0.466,0.052,242.49,2.2,0,0,0,7.76666666666667
"46",2008-01-12 11:00:00,"12/1/2008","11:00 AM",4.118,0.224,236.39,17.4,38,1,17,12.6333333333333
"47",2008-01-12 17:00:00,"12/1/2008","05:00 PM",0.71,0.048,238.95,3,0,0,0,11.8333333333333
"48",2008-01-12 23:00:00,"12/1/2008","11:00 PM",4.108,0.048,237.98,17.2,0,0,17,51.4666666666667
"49",2008-01-13 05:00:00,"13/1/2008","05:00 AM",1.378,0.088,240.99,5.6,0,0,0,22.9666666666667
"50",2008-01-13 11:00:00,"13/1/2008","11:00 AM",1.262,0.048,238.04,5.2,0,0,17,4.03333333333333
"51",2008-01-13 17:00:00,"13/1/2008","05:00 PM",1.5,0.056,238.86,6.2,0,0,0,25
"52",2008-01-13 23:00:00,"13/1/2008","11:00 PM",0.22,0.046,241.48,1,0,0,0,3.66666666666667
"53",2008-01-14 05:00:00,"14/1/2008","05:00 AM",0.224,0,244.61,1,0,0,0,3.73333333333333
"54",2008-01-14 11:00:00,"14/1/2008","11:00 AM",1.446,0.054,238.78,6,0,0,18,6.1
"55",2008-01-14 17:00:00,"14/1/2008","05:00 PM",0.482,0.09,240.27,2.2,0,0,0,8.03333333333333
"56",2008-01-14 23:00:00,"14/1/2008","11:00 PM",0.464,0.15,244.71,2.2,0,0,0,7.73333333333333
"57",2008-01-15 05:00:00,"15/1/2008","05:00 AM",0.342,0,244.6,1.6,0,0,0,5.7
